Renderer,TotalTimeMs,AvgFrameTimeMs,FPS,MinFrameTimeMs,MaxFrameTimeMs
Forward,24506.40,135.39,7.39,131.86,180.68
Deferred,25438.04,140.54,7.12,137.55,182.90
